REF_DATE,GEO,Products,UOM,VALUE,Avg_CPI,Avg_CPI_Gas,day,month,year,ProductsUOM,Meat_Category
2017-01-01,Canada,Beef stewing cuts,Dollars,12.66,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Canada,Beef striploin cuts,Dollars,21.94,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Canada,Beef top sirloin cuts,Dollars,13.44,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Canada,Beef rib cuts,Dollars,20.17,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Canada,Ground beef,Dollars,9.12,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Canada,Pork loin cuts,Dollars,7.34,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Canada,Pork rib cuts,Dollars,7.37,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Canada,Pork shoulder cuts,Dollars,4.76,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Canada,Whole chicken,Dollars,5.15,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Canada,Chicken breasts,Dollars,11.38,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Canada,Chicken thigh,Dollars,8.93,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Canada,Chicken drumsticks,Dollars,5.99,1.8,161.7,1,1,2017, per kilogram,Chicken
2017-01-01,Canada,Bacon,Dollars,5.03,1.8,161.7,1,1,2017, 500 grams,Bacon
2017-01-01,Newfoundland and Labrador,Beef stewing cuts,Dollars,13.57,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Newfoundland and Labrador,Beef striploin cuts,Dollars,16.51,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Newfoundland and Labrador,Beef top sirloin cuts,Dollars,12.09,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Newfoundland and Labrador,Beef rib cuts,Dollars,24.63,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Newfoundland and Labrador,Ground beef,Dollars,8.13,1.8,161.7,1,1,2017, per kilogram,Beef
2017-01-01,Newfoundland and Labrador,Pork loin cuts,Dollars,5.92,1.8,161.7,1,1,2017, per kilogram,Pork
2017-01-01,Newfoundland and Labrador,Pork rib cuts,Dollars,5.88,1.8,161.7,1,1,2017, per kilogram,Pork
